"Source","Target","Type","Weight"
"abstract_","_focus_","Directed",1.63934426229508
"add_","_focus_","Directed",3.27868852459016
"adding_","_focus_","Directed",1.63934426229508
"apply_","_focus_","Directed",1.63934426229508
"apps_","_focus_","Directed",1.63934426229508
"badges_","_focus_","Directed",1.63934426229508
"define_","_focus_","Directed",1.63934426229508
"deployed_","_focus_","Directed",1.63934426229508
"dispensing_","_focus_","Directed",1.63934426229508
"effectiveness_","_focus_","Directed",1.63934426229508
"enterprise_","_focus_","Directed",1.63934426229508
"hate_","_focus_","Directed",1.63934426229508
"location_","_focus_","Directed",1.63934426229508
"mah_","_focus_","Directed",1.63934426229508
"tweet_","_focus_","Directed",1.63934426229508
"_focus_","_caution","Directed",3.27868852459016
