"Source","Target","Type","Weight"
"_focus_","_access","Directed",5.7931939080376
"_focus_","_content","Directed",1.86548130875173
"_focus_","_data","Directed",3.07512934489543
"_focus_","_education","Directed",4.56168476280697
"_focus_","_educational","Directed",5.98994388982001
"_focus_","_learning","Directed",1.8436201996648
"_focus_","_online","Directed",2.76178678131604
"_focus_","_source","Directed",12.2567951614079
"_focus_","_standards","Directed",2.15696276324419
"_focus_","_university","Directed",3.98600889018436
