"Source","Target","Type","Weight"
"_focus_","_access","Directed",6.34831460674157
"_focus_","_content","Directed",2.4438202247191
"_focus_","_data","Directed",5.0561797752809
"_focus_","_education","Directed",3.65168539325843
"_focus_","_educational","Directed",6.79775280898876
"_focus_","_learning","Directed",2.05056179775281
"_focus_","_online","Directed",2.92134831460674
"_focus_","_source","Directed",8.25842696629213
"_focus_","_standards","Directed",2.19101123595506
"_focus_","_university","Directed",3.76404494382022
