"Source","Target","Type","Weight"
"experience_","_focus_","Directed",3.33333333333333
"future_","_focus_","Directed",3.33333333333333
"integratedand_","_focus_","Directed",3.33333333333333
"investigation_","_focus_","Directed",3.33333333333333
"learning_","_focus_","Directed",3.33333333333333
"pretty_","_focus_","Directed",6.66666666666667
"process_","_focus_","Directed",3.33333333333333
"provide_","_focus_","Directed",6.66666666666667
"publishing_","_focus_","Directed",3.33333333333333
"_focus_","_learning","Directed",10
