"Source","Target","Type","Weight"
"base","activ","Undirected",142
"base","applic","Undirected",129
"base","approach","Undirected",130
"concept","base","Undirected",121
"content","base","Undirected",126
"design","activ","Undirected",135
"design","applic","Undirected",120
"design","approach","Undirected",127
"design","base","Undirected",157
"educ","activ","Undirected",135
"educ","applic","Undirected",121
"educ","approach","Undirected",122
"educ","base","Undirected",152
"educ","design","Undirected",152
"interact","activ","Undirected",131
"interact","base","Undirected",141
"interact","design","Undirected",135
"interact","educ","Undirected",132
"model","activ","Undirected",123
"model","base","Undirected",145
"model","design","Undirected",139
"model","educ","Undirected",134
"model","interact","Undirected",121
"perform","base","Undirected",125
"propos","base","Undirected",126
"provid","activ","Undirected",141
"provid","applic","Undirected",127
"provid","approach","Undirected",135
"provid","base","Undirected",166
"provid","content","Undirected",128
"provid","design","Undirected",158
"provid","educ","Undirected",154
"provid","interact","Undirected",140
"provid","model","Undirected",144
"provid","perform","Undirected",125
"provid","propos","Undirected",127
"relat","activ","Undirected",123
"relat","base","Undirected",139
"relat","design","Undirected",133
"relat","educ","Undirected",129
"relat","model","Undirected",124
"relat","provid","Undirected",139
"set","activ","Undirected",121
"set","approach","Undirected",120
"set","base","Undirected",139
"set","design","Undirected",134
"set","educ","Undirected",129
"set","model","Undirected",129
"set","provid","Undirected",138
"set","relat","Undirected",124
"tool","activ","Undirected",126
"tool","base","Undirected",137
"tool","design","Undirected",137
"tool","educ","Undirected",131
"tool","interact","Undirected",121
"tool","provid","Undirected",139
"user","base","Undirected",126
"user","design","Undirected",120
"user","provid","Undirected",126
