"Source","Target","Type","Weight"
"figur","effect","Undirected",91
"improv","effect","Undirected",101
"knowledg","effect","Undirected",98
"method","effect","Undirected",98
"research","effect","Undirected",123
"research","figur","Undirected",98
"research","improv","Undirected",102
"research","knowledg","Undirected",103
"research","method","Undirected",100
"result","effect","Undirected",121
"result","figur","Undirected",93
"result","improv","Undirected",99
"result","knowledg","Undirected",102
"result","level","Undirected",90
"result","method","Undirected",99
"result","particip","Undirected",89
"result","research","Undirected",127
"school","effect","Undirected",103
"school","research","Undirected",106
"school","result","Undirected",103
"studi","effect","Undirected",124
"studi","figur","Undirected",95
"studi","improv","Undirected",100
"studi","knowledg","Undirected",104
"studi","level","Undirected",89
"studi","method","Undirected",102
"studi","particip","Undirected",90
"studi","research","Undirected",130
"studi","result","Undirected",131
"studi","school","Undirected",107
"teacher","research","Undirected",91
"teacher","studi","Undirected",90
"understand","effect","Undirected",96
"understand","research","Undirected",105
"understand","result","Undirected",105
"understand","studi","Undirected",107
"univers","effect","Undirected",125
"univers","figur","Undirected",100
"univers","improv","Undirected",103
"univers","knowledg","Undirected",107
"univers","method","Undirected",104
"univers","particip","Undirected",90
"univers","research","Undirected",136
"univers","result","Undirected",133
"univers","school","Undirected",108
"univers","studi","Undirected",135
"univers","teacher","Undirected",93
"univers","understand","Undirected",109
