"Source","Target","Type","Weight"
"avail","approach","Undirected",37
"discuss","avail","Undirected",39
"includ","ani","Undirected",36
"includ","avail","Undirected",39
"includ","discuss","Undirected",37
"inform","ani","Undirected",40
"inform","approach","Undirected",36
"inform","avail","Undirected",46
"inform","data","Undirected",38
"inform","discuss","Undirected",38
"inform","includ","Undirected",49
"innov","avail","Undirected",36
"institut","approach","Undirected",36
"institut","avail","Undirected",44
"institut","includ","Undirected",37
"institut","inform","Undirected",42
"issu","inform","Undirected",41
"issu","institut","Undirected",40
"manag","includ","Undirected",41
"manag","inform","Undirected",42
"process","institut","Undirected",36
"provid","activ","Undirected",39
"provid","ani","Undirected",39
"provid","approach","Undirected",40
"provid","avail","Undirected",48
"provid","content","Undirected",37
"provid","data","Undirected",39
"provid","design","Undirected",37
"provid","discuss","Undirected",45
"provid","effect","Undirected",37
"provid","includ","Undirected",49
"provid","inform","Undirected",55
"provid","institut","Undirected",46
"provid","issu","Undirected",44
"provid","link","Undirected",36
"provid","manag","Undirected",43
"resourc","inform","Undirected",42
"resourc","provid","Undirected",45
"support","ani","Undirected",40
"support","approach","Undirected",37
"support","avail","Undirected",42
"support","content","Undirected",38
"support","discuss","Undirected",43
"support","includ","Undirected",42
"support","inform","Undirected",50
"support","institut","Undirected",44
"support","issu","Undirected",37
"support","manag","Undirected",43
"support","process","Undirected",39
"support","provid","Undirected",59
"support","resourc","Undirected",39
"system","avail","Undirected",46
"system","includ","Undirected",41
"system","inform","Undirected",44
"system","institut","Undirected",44
"system","manag","Undirected",39
"system","provid","Undirected",56
"system","resourc","Undirected",36
"system","support","Undirected",50
"tool","includ","Undirected",39
"tool","inform","Undirected",41
"tool","provid","Undirected",48
"tool","support","Undirected",42
"tool","system","Undirected",43
"univers","avail","Undirected",48
"univers","discuss","Undirected",39
"univers","includ","Undirected",43
"univers","inform","Undirected",46
"univers","institut","Undirected",49
"univers","process","Undirected",36
"univers","provid","Undirected",55
"univers","support","Undirected",48
"univers","system","Undirected",45
"univers","tool","Undirected",41
"user","provid","Undirected",36
"user","system","Undirected",38
"veri","approach","Undirected",37
"veri","avail","Undirected",42
"veri","discuss","Undirected",37
"veri","includ","Undirected",42
"veri","inform","Undirected",43
"veri","institut","Undirected",41
"veri","manag","Undirected",44
"veri","provid","Undirected",49
"veri","relat","Undirected",38
"veri","resourc","Undirected",36
"veri","support","Undirected",42
"veri","system","Undirected",42
"veri","tool","Undirected",42
"veri","univers","Undirected",42
