"Source","Target","Type","Weight"
"onlin","dont","Undirected",472
"onlin","free","Undirected",520
"onlin","network","Undirected",477
"read","dont","Undirected",656
"read","email","Undirected",632
"read","free","Undirected",469
"read","onlin","Undirected",637
"research","onlin","Undirected",510
"school","class","Undirected",480
"school","classroom","Undirected",569
"school","dont","Undirected",556
"school","free","Undirected",481
"school","live","Undirected",517
"school","onlin","Undirected",589
"school","read","Undirected",698
"social","dont","Undirected",510
"social","media","Undirected",731
"social","network","Undirected",732
"social","onlin","Undirected",613
"social","read","Undirected",538
"social","research","Undirected",551
"social","school","Undirected",540
"student","class","Undirected",614
"student","classroom","Undirected",659
"student","connect","Undirected",489
"student","dont","Undirected",656
"student","email","Undirected",505
"student","free","Undirected",581
"student","live","Undirected",548
"student","onlin","Undirected",877
"student","read","Undirected",859
"student","research","Undirected",619
"student","school","Undirected",1174
"student","social","Undirected",646
"talk","dont","Undirected",472
"talk","student","Undirected",538
"teacher","classroom","Undirected",546
"teacher","dont","Undirected",476
"teacher","onlin","Undirected",486
"teacher","read","Undirected",582
"teacher","school","Undirected",933
"teacher","social","Undirected",487
"teacher","student","Undirected",1027
"time","book","Undirected",560
"time","class","Undirected",528
"time","classroom","Undirected",526
"time","comput","Undirected",515
"time","connect","Undirected",627
"time","dont","Undirected",1019
"time","email","Undirected",505
"time","free","Undirected",710
"time","life","Undirected",540
"time","live","Undirected",798
"time","media","Undirected",571
"time","network","Undirected",607
"time","onlin","Undirected",879
"time","read","Undirected",1039
"time","research","Undirected",685
"time","school","Undirected",955
"time","social","Undirected",878
"time","student","Undirected",1150
"time","talk","Undirected",730
"time","teacher","Undirected",799
"video","student","Undirected",576
"video","time","Undirected",621
"whi","dont","Undirected",576
"whi","read","Undirected",515
"whi","school","Undirected",492
"whi","student","Undirected",530
"whi","time","Undirected",769
"world","dont","Undirected",607
"world","live","Undirected",538
"world","onlin","Undirected",563
"world","read","Undirected",642
"world","school","Undirected",705
"world","social","Undirected",647
"world","student","Undirected",774
"world","teacher","Undirected",564
"world","time","Undirected",1002
"world","whi","Undirected",504
"thislikeb","rate","Undirected",910
"thislikeb","social","Undirected",493
