"Source","Target","Type","Weight"
"content","concept","Undirected",90
"context","content","Undirected",91
"help","concept","Undirected",99
"help","content","Undirected",97
"help","context","Undirected",94
"learner","content","Undirected",91
"learner","help","Undirected",101
"object","concept","Undirected",92
"object","context","Undirected",89
"object","help","Undirected",90
"practic","help","Undirected",92
"process","access","Undirected",95
"process","concept","Undirected",113
"process","content","Undirected",125
"process","context","Undirected",111
"process","control","Undirected",89
"process","function","Undirected",108
"process","generat","Undirected",99
"process","help","Undirected",131
"process","instruct","Undirected",96
"process","learner","Undirected",118
"process","object","Undirected",115
"process","practic","Undirected",107
"relat","concept","Undirected",102
"relat","content","Undirected",110
"relat","context","Undirected",96
"relat","function","Undirected",87
"relat","generat","Undirected",90
"relat","help","Undirected",110
"relat","instruct","Undirected",87
"relat","learner","Undirected",105
"relat","object","Undirected",102
"relat","practic","Undirected",90
"relat","process","Undirected",134
"student","access","Undirected",92
"student","concept","Undirected",109
"student","content","Undirected",116
"student","context","Undirected",97
"student","function","Undirected",97
"student","generat","Undirected",92
"student","help","Undirected",129
"student","instruct","Undirected",91
"student","learner","Undirected",110
"student","object","Undirected",107
"student","practic","Undirected",102
"student","process","Undirected",147
"student","relat","Undirected",125
"teach","concept","Undirected",92
"teach","content","Undirected",89
"teach","help","Undirected",102
"teach","learner","Undirected",88
"teach","practic","Undirected",88
"teach","process","Undirected",118
"teach","relat","Undirected",103
"teach","student","Undirected",123
"teacher","process","Undirected",94
"teacher","student","Undirected",96
"teacher","teach","Undirected",87
