"Source","Target","Type","Weight"
"data","collabor","Undirected",108
"level","collabor","Undirected",97
"level","data","Undirected",110
"main","collabor","Undirected",103
"main","data","Undirected",113
"main","level","Undirected",107
"particip","collabor","Undirected",92
"particip","data","Undirected",104
"particip","level","Undirected",103
"particip","main","Undirected",97
"social","collabor","Undirected",89
"social","data","Undirected",91
"social","level","Undirected",86
"social","main","Undirected",89
"social","particip","Undirected",79
"task","collabor","Undirected",89
"task","data","Undirected",111
"task","level","Undirected",96
"task","main","Undirected",106
"task","particip","Undirected",94
