"Source","Target","Type","Weight"
"grademark","asynchron","Undirected",1
"jiscassess","asynchron","Undirected",3
"jiscassess","grademark","Undirected",4
"song","noss","Undirected",2
"workload","asynchron","Undirected",2
"workload","grademark","Undirected",2
"workload","jiscassess","Undirected",6
"assign","asynchron","Undirected",1
"assign","grademark","Undirected",2
"assign","jiscassess","Undirected",5
"assign","node","Undirected",1
"assign","noss","Undirected",1
"assign","song","Undirected",1
"assign","workload","Undirected",1
"badg","inloc","Undirected",1
"binari","noss","Undirected",3
"binari","song","Undirected",2
"binari","assign","Undirected",1
"claim","inloc","Undirected",2
"claim","noss","Undirected",2
"claim","song","Undirected",2
"claim","assign","Undirected",1
"claim","badg","Undirected",2
"claim","binari","Undirected",2
"classroom","jiscassess","Undirected",2
"classroom","workload","Undirected",1
"coher","inloc","Undirected",1
"coher","noss","Undirected",1
"coher","song","Undirected",1
"coher","assign","Undirected",1
"coher","badg","Undirected",1
"coher","binari","Undirected",1
"coher","claim","Undirected",3
"criteria","noss","Undirected",3
"criteria","song","Undirected",2
"criteria","assign","Undirected",1
"criteria","binari","Undirected",3
"criteria","claim","Undirected",2
"criteria","coher","Undirected",1
"defin","inloc","Undirected",1
"defin","node","Undirected",1
"defin","noss","Undirected",3
"defin","song","Undirected",2
"defin","assign","Undirected",1
"defin","badg","Undirected",1
"defin","binari","Undirected",3
"defin","claim","Undirected",3
"defin","coher","Undirected",1
"defin","criteria","Undirected",3
"diari","asynchron","Undirected",2
"diari","grademark","Undirected",3
"diari","jiscassess","Undirected",3
"diari","workload","Undirected",2
"diari","assign","Undirected",1
"diari","defin","Undirected",1
"dunde","grademark","Undirected",1
"dunde","jiscassess","Undirected",4
"dunde","workload","Undirected",2
"dunde","assign","Undirected",3
"dunde","diari","Undirected",1
"eassess","asynchron","Undirected",1
"eassess","grademark","Undirected",1
"eassess","jiscassess","Undirected",3
"eassess","workload","Undirected",2
"eassess","diari","Undirected",1
"eassess","dunde","Undirected",3
"electron","asynchron","Undirected",2
"electron","grademark","Undirected",2
"electron","inloc","Undirected",1
"electron","jiscassess","Undirected",5
"electron","workload","Undirected",3
"electron","assign","Undirected",2
"electron","badg","Undirected",1
"electron","claim","Undirected",1
"electron","classroom","Undirected",1
"electron","defin","Undirected",1
"electron","diari","Undirected",2
"electron","dunde","Undirected",2
"electron","eassess","Undirected",4
"employ","inloc","Undirected",1
"employ","jiscassess","Undirected",1
"employ","noss","Undirected",2
"employ","song","Undirected",1
"employ","workload","Undirected",2
"employ","badg","Undirected",1
"employ","binari","Undirected",2
"employ","claim","Undirected",4
"employ","classroom","Undirected",1
"employ","coher","Undirected",2
"employ","criteria","Undirected",2
"employ","defin","Undirected",2
"employ","dunde","Undirected",1
"employ","eassess","Undirected",1
"employ","electron","Undirected",1
"evid","grademark","Undirected",1
"evid","inloc","Undirected",2
"evid","jiscassess","Undirected",5
"evid","noss","Undirected",3
"evid","song","Undirected",2
"evid","workload","Undirected",2
"evid","assign","Undirected",2
"evid","badg","Undirected",3
"evid","binari","Undirected",3
"evid","claim","Undirected",4
"evid","classroom","Undirected",2
"evid","coher","Undirected",2
"evid","criteria","Undirected",3
"evid","defin","Undirected",4
"evid","diari","Undirected",1
