"","Id","Label","Weight"
"accur","accur","accurate",188.076678188103
"authent","authent","authentic",263.121863262314
"besid","besid","besides",201.794615244679
"book","book","book",380.127796980171
"competit","competit","competitive",190.497490609851
"cover","cover","cover",184.911000405816
"detect","detect","detect",192.408658311232
"emot","emot","emotion",217.227294433327
"etrain","etrain","etrain",229.230489357832
"foreign","foreign","foreign",229.230489357832
"game","game","game",192.825194861533
"gamebas","gamebas","gamebas",229.230489357832
"hybrid","hybrid","hybrid",362.980375659451
"negat","negat","negative",242.948426414408
"path","path","path",193.955794069492
"perceiv","perceiv","perceive",229.230489357832
"public","public","public",343.194889520158
"qti","qti","qti",402.991025407798
"serious","serious","serious",640.768601055121
